Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Fubon Braves,2022/11/20,Lioneers,104 - 108,36 - 68,52.94,7 - 36,19.44,11 - 19,57.89,104,61,24,15,8,3,22,L,Round 5 ,H
Fubon Braves,2022/11/25,Kings,89 - 104,18 - 43,41.86,12 - 41,29.27,17 - 32,53.13,89,58,17,15,7,7,14,L,Round 6 ,H
Fubon Braves,2022/12/3,Steelers,125 - 119,31 - 54,57.41,12 - 30,40,27 - 33,81.82,125,49,30,15,7,7,20,W,Round 7 ,H
Fubon Braves,2022/12/6,Dreamers,90 - 87,18 - 49,36.73,10 - 42,23.81,24 - 36,66.67,90,58,19,15,18,4,20,W,Round 8 ,H
Fubon Braves,2022/12/10,Kings,103 - 99,29 - 55,52.73,10 - 40,25,11 - 16,68.75,99,62,14,17,7,6,17,L,Round 9 ,A
Fubon Braves,2022/12/11,Dreamers,97 - 94,24 - 61,39.34,9 - 29,31.03,19 - 24,79.17,94,45,26,12,8,2,21,L,Round 10,A
Fubon Braves,2022/12/17,Steelers,80 - 114,27 - 52,51.92,14 - 32,43.75,18 - 21,85.71,114,58,30,18,13,3,18,W,Round 11,A
Fubon Braves,2022/12/18,Lioneers,98 - 114,38 - 62,61.29,8 - 27,29.63,14 - 17,82.35,114,55,33,17,6,7,15,W,Round 12,A
Fubon Braves,2022/12/23,Pilots,85 - 90,21 - 46,45.65,10 - 32,31.25,13 - 16,81.25,85,49,18,21,5,9,24,L,Round 13,A
Fubon Braves,2023/1/1,Kings,83 - 95,22 - 47,46.81,11 - 32,34.38,6 - 11,54.55,83,41,23,18,12,4,15,L,Round 14,H
,,,,,,,,,,,,,,,,,,,
